GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PayMyBuddy,com.PMB.PayMyBuddy.controller,UserController,0,198,0,0,0,47,0,15,0,15
PayMyBuddy,com.PMB.PayMyBuddy.Service,BankAccountService,13,72,1,5,1,18,1,6,0,4
PayMyBuddy,com.PMB.PayMyBuddy.Service,UserService,37,373,7,27,9,88,9,23,2,13
PayMyBuddy,com.PMB.PayMyBuddy.Service,TypeOfTransferService,0,49,0,0,0,8,0,4,0,4
PayMyBuddy,com.PMB.PayMyBuddy.Service,MoneyTransferService,22,433,5,15,13,109,5,9,0,4
PayMyBuddy,com.PMB.PayMyBuddy,PayMyBuddyApplication,5,3,0,0,2,1,1,1,1,1
PayMyBuddy,com.PMB.PayMyBuddy.exception,NotEnoughMoneyException,0,4,0,0,0,2,0,1,0,1
PayMyBuddy,com.PMB.PayMyBuddy.exception,EmptyBankAccountException,0,4,0,0,0,2,0,1,0,1
PayMyBuddy,com.PMB.PayMyBuddy.exception,QuotaReachedException,0,4,0,0,0,2,0,1,0,1
PayMyBuddy,com.PMB.PayMyBuddy.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
PayMyBuddy,com.PMB.PayMyBuddy.model,PhoneNumber,20,37,0,0,2,17,2,9,2,9
PayMyBuddy,com.PMB.PayMyBuddy.model,Address,218,62,47,1,44,27,27,14,3,14
PayMyBuddy,com.PMB.PayMyBuddy.model,MoneyTransfer,10,108,0,0,4,30,3,14,3,14
PayMyBuddy,com.PMB.PayMyBuddy.model,TypeOfTransfer,31,26,0,0,7,12,5,6,5,6
PayMyBuddy,com.PMB.PayMyBuddy.model,User,435,197,88,14,73,75,51,33,2,31
PayMyBuddy,com.PMB.PayMyBuddy.model,BankAccount,14,50,0,0,6,16,4,9,4,9
PayMyBuddy,com.PMB.PayMyBuddy.configuration,SpringSecurityConfig,0,77,0,0,0,17,0,3,0,3
